Course	Room	Teacher	Time	Students
002637	CARP17	0828228	3	0711336 0769020 0860497 0915226 
003026	TAYF	0222805	3	0734613 0745780 0746210 0748713 0771732 0781191 0802127 0805926 0813159 0831031 0832171 0834472 0836379 0836898 0851024 0851297 0855085 0886158 0897101 0899241 0904301 0910421 0915467 
006502	PK336	0031621	2	0734613 0828036 0828394 0890043 
002464	ROSTUD	1051497	2	0738079 0744133 0802029 0829096 0829360 0852088 0858034 0859066 0859186 0887467 0897931 0907217 0918153 0919825 
002472	CARP25	1051497	4	0738079 0751823 0780735 0809033 0826565 0828021 0828705 0832248 0848562 0852088 
008821	CARP25	0031572	3	0739031 0769557 0772305 0787509 0836904 0857087 0904706 0915589 
007398	DAL204	0851717	5	0741435 0742886 0780450 0785955 0802256 0824983 0828394 0828467 0857016 
001766	EHI	1165592	3	0741632 0746537 0787159 0788425 0806189 0850382 0901868 0905954 0916427 1003100 1015275 1085631 
002571	PK338	0564741	2	0741707 0781976 0812824 0829837 0832137 0833657 0848789 0850613 0860257 0899316 
004885	CARP15	0672202	3	0742063 0755872 0784123 0829397 0851187 0858092 0907462 0908002 0914256 0914599 0918153 0950942 1004206 
005258	TH110	0056990	5	0742063 0744449 0786916 0787509 0989401 
002173	PK264	1083806	2	0784558 0798802 0802807 0806873 0809839 0850854 
002182	PK264	0428815	3	0742089 0773692 0802807 0806873 0809839 0814593 0829837 0833368 0851209 
003034	TH251	0222805	5	0742461 0827099 0831798 0851024 
003465	EHLEC	0058557	3	0742461 0768507 0770198 0807750 0810196 0827460 0832928 0852456 0899440 1067241 
003562	EHI	0024092	4	0742461 0746084 0770198 0788425 0810885 0827460 0879882 0896979 0903064 0998323 
002992	TAYF	0031400	6	0742549 0773175 0795445 0822753 0827209 0847790 0849022 0865667 0875055 0888735 0906447 0907493 0910056 0945264 0948390 0959200 0982172 0989432 0992223 0998972 1001196 1002241 1002706 1003128 1004324 1005059 1008282 1018936 1020150 1025522 1025644 1049299 1064045 1066679 1067377 1076531 1076776 1077161 1077482 1080792 1082150 1082919 
003277	CARP15	0675005	4	0742549 0799414 0826670 0896217 
003525	EHI	1063157	5	0742734 0756275 0780485 0825559 0825743 0827786 0859564 0867801 0902217 0904752 0953178 
001752	GOCOM	0416447	2	0781424 0904752 
004815	CARP17	1074848	4	0744133 0809463 0903600 0959200 1058180 
001547	PEMSTD	0031756	1	0744202 0802127 0835804 0871788 0908862 
001560	PEMSTD	0031332	2	0744202 0772305 0802127 0810794 0871788 
001561	PEMSTD	0031332	3	0744202 0810794 
007915	RCSEM	0775195	1	0745699 0794276 0812518 0829376 
002394	ROSTUD	0020988	3	0744449 0812298 0829360 0845664 0887467 0907217 0919825 
006059	PK328	0409737	2	0744449 0755048 0771876 0771900 0781523 0786993 0806452 0807702 0812632 0827209 0830269 0831531 0847248 0853072 0916398 
004014	TH104	1084297	5	0744475 0859409 0889384 0918064 0919772 0945809 0945969 0946010 0959304 0966125 0993551 0998885 1000122 1005548 1039831 1040818 1057535 1065271 1081939 
006042	PK338	0207327	3	0744475 0778307 0781523 0788849 0802029 0812300 0813366 0822753 0826565 0827099 0827209 0831531 0831798 0832718 0833031 0834443 0850613 0850854 0851310 0858850 0859186 0860659 0861730 0862049 0875055 0880639 0887478 0892333 0892458 0896287 0899419 0899481 0901946 0901961 0908862 0910884 0911598 0912081 0915543 0954641 0959337 0987613 1000895 1065183 
006044	PK243	0431634	4	0744475 0771900 0781139 0786993 0802029 0802766 0812632 0817768 0828036 0832718 0834138 0847248 0855085 0861730 0880639 0892333 0892458 0896287 0899316 0899481 0901961 0907914 0908862 0910884 0915543 0916398 0952594 1000895 
008485	TAYB	0031553	4	0745699 0871788 
008488	CARP15	0031553	5	0745699 0871788 
003441	EHII	0897706	6	0751788 0810885 0817768 0828021 0833368 0854235 0855085 0879882 0887308 0897911 0901868 0902541 0915006 0957333 0965927 1003389 1021751 1030369 1041981 
004017	TH104	0031578	6	0833188 0899481 0907914 0913466 1000939 1001905 1065183 
004304	PK259	0056992	1	0746203 
004274	PK259	0017611	2	0746907 0836379 0852608 0871255 0883488 0887478 0901539 0904918 0915740 0917732 1006799 1039868 1056096 1065654 1066308 1067726 1077815 1077963 1084185 
007007	TH111	0028980	6	0746907 0823997 0836898 0903222 0903229 0919772 0920400 0952008 0967793 0988620 0998799 1005068 1006899 1008387 1010750 1019827 1056096 1056738 1067862 1079614 1172030 
006026	PK243	0213446	5	0747147 0775490 0802807 0814593 0827772 0828604 0847790 0853988 0873557 0910403 0911366 0913880 0914076 0919776 0920237 0956475 0958492 0963528 0965925 0966303 0967411 0986688 0988657 0998799 0999689 1000939 1005082 1005315 1005720 1006899 1007882 1015275 1029210 1037745 1040618 1050781 1057520 1064790 1066007 1067724 1076437 1081006 1084909 1085061 
001864	PK227	0031557	4	0861815 0907897 
008767	GIL101	0428728	4	0747562 0827963 0861391 0862049 0901262 0917732 0981989 0993566 1000750 1001351 1004324 1006105 1010175 1018857 1019940 1024315 1025644 1038303 1056096 1076274 1080149 1080398 1082905 
008479	TAYE	0031619	8	0803579 0858864 0860532 0861648 0862152 0903222 0967042 1003539 
