84.09864
Zero Conflict:37125
Nonzero Conflict:3023
More students interested than room limit: 2
Course	Room	Teacher	Time	Students
012823	5 / 65 / 12	TH110	0031632	31	3250074 3250084 3250395 3358339 3417553 
012851	5 / 65 / 5	TH110	3451425	32	3089948 3162638 3225182 3250074 3340110 
004012	38 / 67 / 42	PK338	0215359	30	3091653 3223591 3225356 3250074 3259524 3264954 3324360 3340533 3341358 3352904 3357453 3365419 3379786 3381824 3397807 3404642 3405695 3411159 3414238 3415769 3416286 3416896 3417553 3421753 3423723 3426244 3426717 3426718 3432398 3434130 3437295 3437379 3437827 3438068 3439402 3439564 3439670 3440175 
004835	19 / 67 / 21	PK338	0032827	31	3091653 3218913 3245992 3324192 3338175 3338205 3340232 3341874 3344264 3357367 3364124 3404364 3405695 3416286 3416750 3417097 3417166 3420884 3435380 
006026	23 / 67 / 30	PK338	0987775	34	3106762 3108046 3116392 3160149 3180861 3216810 3254633 3289325 3312777 3319023 3411059 3412381 3412644 3413728 3413923 3417791 3420940 3424594 3425401 3433788 3438084 3439475 3439511 
002713	5 / 67 / 5	PK338	0468281	32	3092704 3198356 3212716 3222659 3224227 
001840	46 / 67 / 47	PK338	0168763	35	3093424 3105958 3142819 3149956 3218584 3225017 3249454 3250131 3253100 3262457 3283602 3289325 3311583 3322637 3324231 3324844 3330318 3334029 3337542 3337781 3337851 3340879 3343167 3352269 3357453 3360165 3365824 3375120 3389676 3396206 3397042 3397265 3397807 3404148 3404693 3404828 3405145 3405151 3405744 3406073 3406406 3409210 3411258 3421044 3431445 3438669 
005180	22 / 65 / 22	TH110	3426676	33	3093424 3102995 3212716 3278685 3314413 3331117 3340959 3342814 3352054 3354609 3358378 3395299 3397598 3397992 3412381 3412866 3416424 3426169 3426658 3434124 3437589 3439475 
007377	39 / 67 / 39	PK338	0031522	33	3093818 3185597 3217450 3221877 3224950 3227217 3239900 3240228 3246608 3249123 3255727 3255755 3257109 3322523 3323512 3324484 3337851 3339156 3339567 3339830 3341358 3342833 3344151 3389574 3405393 3409210 3411254 3415619 3416997 3417003 3417933 3426638 3429733 3433788 3433929 3434539 3436514 3437756 3440116 
006561	4 / 65 / 6	TH110	0031478	34	3094573 3111592 3263732 3352904 
006588	5 / 65 / 5	TH110	0031478	36	3094573 3128777 3129544 3168511 3337542 
011334	4 / 65 / 4	TH110	0031573	35	3094573 3255757 3264954 3312519 
004709	8 / 67 / 8	PK338	0058557	36	3094719 3099669 3101841 3212907 3218659 3220365 3337414 3397012 
004823	4 / 65 / 5	TH110	3451416	37	3095526 3221756 3223454 3412261 
001769	12 / 67 / 13	PK338	3099830	37	3095725 3119160 3127208 3134461 3196460 3338504 3340716 3372272 3404386 3420037 3429732 3439402 
003011	13 / 67 / 13	PK338	1083868	38	3095725 3105170 3224949 3254408 3314580 3338205 3340232 3363977 3374479 3381824 3417338 3430706 3437778 
012726	5 / 65 / 5	TH110	0416447	39	3095725 3101841 3113444 3225118 3304629 
012832	1 / 65 / 2	TH110	0103578	40	3324289 
001857	7 / 65 / 8	TH110	0123161	38	3097120 3132705 3212266 3224187 3323191 3339196 3340292 
