80.68988
Zero Conflict:25650
Nonzero Conflict:2286
More students interested than room limit: 1
Course	Room	Teacher	Time	Students
010948	35 / 60 / 35	PK25	1062534	28	0980022 0985218 0993172 0994035 0998860 1017930 1030842 1049683 1050602 1057564 1058203 1065966 1071102 1071690 1072415 1073214 1081207 1083355 1085971 1112411 1122236 1136061 1162493 1162725 3057399 3062413 3064630 3065332 3065560 3070184 3073483 3074820 3079816 3091305 3097075 
001193	13 / 60 / 14	PK25	0135660	26	1047500 1058203 1072725 1085421 1133031 1153036 1162493 3075252 3077943 3083717 3098947 3100011 3188793 
011204	17 / 77 / 26	PK338	0601586	27	1009914 1011634 1069345 1071070 1079538 1080542 1098264 1130377 1163179 3067585 3069758 3079169 3087472 3100468 3166656 3180821 3190134 
001152	51 / 77 / 51	PK338	0406445	28	0980685 0983635 1009914 1059663 1073076 1109276 1150630 1156282 3063558 3066711 3075104 3079120 3080118 3081179 3082033 3084353 3085002 3085021 3089542 3094527 3094738 3096808 3097521 3100196 3104777 3107224 3108814 3121782 3123316 3125450 3125808 3135241 3152667 3153473 3160008 3160933 3188793 3191191 3192437 3194474 3204248 3204495 3204644 3204830 3205138 3212165 3213217 3216013 3216649 3217604 3217778 
001249	8 / 77 / 11	PK338	0135660	29	0980685 1003526 1011239 1017930 1047500 1072415 1162901 3074820 
004012	28 / 77 / 28	PK338	3244352	30	0980685 0985223 1060284 1150110 1156319 1162423 3068633 3069893 3071791 3082314 3085002 3086240 3098380 3103166 3109335 3121199 3121782 3122857 3152572 3152788 3155346 3171506 3185620 3192437 3211384 3211393 3213402 3217313 
006862	5 / 60 / 8	PK25	0824244	29	0981025 0997481 1005619 1016705 3066445 
010844	7 / 60 / 7	PK25	0409737	31	0981025 1049957 1071258 1088892 1155813 3068633 3070495 
011530	4 / 60 / 4	PK25	3310251	30	0981042 1059105 1068953 3088047 
003512	8 / 77 / 10	PK338	0995587	31	0981248 0997873 1021988 1029713 1115327 1119061 1161753 3306653 
004830	17 / 77 / 17	PK338	0348369	32	0981248 0993816 1011279 1034403 1039761 1048692 1060805 1073316 1096573 1163424 3067056 3081179 3093184 3100388 3171506 3180821 3212165 
003478	14 / 60 / 14	PK25	0431946	32	0981412 1115327 1119061 1161753 3066088 3069455 3071792 3081410 3092577 3100011 3121199 3194888 3211128 3306653 
006564	12 / 60 / 13	PK25	0777265	33	0981412 0985223 0997873 0998527 1000374 1013439 1059673 1059719 1068721 1088018 3063437 3103193 
006588	7 / 60 / 7	PK25	0031399	34	0981412 0985223 1013439 1023105 1059673 1059719 1068721 
011629	10 / 77 / 10	PK338	0031399	35	0981412 1000374 1014173 1023105 1047500 1059604 1059719 3063437 3071694 3090714 
007017	17 / 77 / 21	PK338	0031568	33	0984608 1001981 1052099 1095813 1163131 3067387 3077926 3081074 3091169 3091890 3092244 3093184 3097933 3108886 3109227 3152623 3180697 
007040	25 / 77 / 28	PK338	3195964	34	0984608 1011279 1013117 1019072 1068660 1079538 1092760 1093453 1093758 1104799 1141766 1141987 1161679 1163131 3067313 3067793 3073790 3087144 3087328 3087431 3094479 3094575 3100080 3100415 3213909 
001891	4 / 60 / 4	PK25	0031557	35	0985218 1010254 1021988 1028864 
006504	27 / 77 / 29	PK338	0031399	36	1094452 1125596 1129252 3071694 3073216 3078258 3079915 3081951 3083207 3085643 3093246 3093319 3094700 3125450 3126883 3151640 3153306 3153576 3178019 3191823 3193672 3194888 3205208 3211128 3214899 3215241 3217372 
