66.347046
Course	Room	Teacher	Time	Students
001565	EHII	0826962	1	0849809 0860265 0887467 0899292 0907172 0959919 0989395 1032769 
001567	PK232	0826962	2	0677533 0849809 0860265 0907172 
008459	PK229	0031333	1	0677533 0769557 0772032 0772305 0773502 0781527 0787430 0812632 0825990 0827928 0828068 0831798 0832171 0833368 0834472 0858864 0862176 0885910 0906085 0913989 0915589 0945635 
001842	TAYSEM	0031557	1	0679831 0768585 0799016 0803723 0819118 0824872 0830280 0850564 0854235 0860204 0861391 0865894 0892458 0899636 0901409 0902371 0905540 0909662 0909692 0989590 0991763 0992616 1004206 1016793 1034578 1084185 
003426	ARNST	1084371	1	0887398 0897911 0898872 
004824	TH104	1063507	1	0755872 0857382 0899135 0968216 1046439 
006024	PK338	0301909	1	0699614 0746907 0781976 0789284 0812628 0818384 0827786 0851111 0909240 0909942 0911775 0915467 0945034 0945969 0987600 0991213 0992186 0995269 0998885 1001894 1005082 1006444 1006744 1017444 1018857 1020478 1021867 1023494 1024283 1025522 1025644 1027597 1028249 1029566 1032929 1036027 1036225 1038303 1040045 1045379 1055078 1055290 1055441 1056203 1056217 1056320 1056722 1056963 1056980 1058048 1058242 1064045 1064148 1064780 1065142 1065654 1065796 1066335 1066778 1066924 1067460 1067502 1067933 1068052 1068109 1068526 1076009 1076922 1078648 1078680 1078819 1078836 1078921 1080149 1080398 1081917 1082150 1082799 1082907 1083430 1083431 1084017 1084187 
007370	PK328	0826964	1	0865346 1086329 
007403	TAYG	0031611	1	0748357 0822518 0829872 
006019	RCSEM	0856198	1	0700408 1001351 
001837	PK25	0409956	1	0701809 0772927 0795445 0828017 0852940 0854345 0861815 0862152 0868541 0883015 0903917 0904516 0906963 0908998 0911218 0911802 0911936 0912781 0915885 0917334 0919283 0920095 0952783 0954240 0954830 0958984 0959200 0960037 0966077 0966094 0966299 0970193 0970262 0972861 0986094 0987937 0988271 0988625 0989520 0992744 0993506 0999715 1001613 1002047 1003020 1003644 1004733 1006438 1007348 1010643 1013071 1017832 1019827 1029737 1029787 1049299 1058421 1064605 1066309 1079771 1172397 
002161	CARP21	1083806	1	0711460 0786916 0848150 0862049 0901688 0904506 0906896 0918009 0946010 0951991 0954641 0960084 0972660 0993551 1002045 1002767 1008925 1016434 1084909 1088180 
006847	PK243	0826957	1	0831966 0833438 0857087 0858872 0865276 0882323 0884876 0885444 0908164 0909837 1016462 
008809	PK337	1084529	1	0707575 0787509 0825935 0859564 
008810	ROSTUD	0576472	1	0869575 0987243 
004889	CARP25	0672202	1	0741632 0742063 0778307 0779365 0810885 0828021 0858092 
007017	TH224	0031568	1	0814822 0870907 0909216 0913946 0920251 1002706 1007799 1007882 1040818 1067748 1077003 1077257 
007040	TAYE	0162976	1	0709554 0818892 0830141 0831031 0851302 0852455 0886158 0902541 0903229 0907493 0909693 0912081 0945264 
001840	TH110	0168763	1	0710449 0773175 0779966 0828065 0830807 0833031 0833317 0847932 0848492 0870197 0873557 0892206 0900429 0903600 0909675 0918118 0960068 0993929 1054176 1082919 
007406	PK227	0031522	1	
001861	GOB	0056992	1	0780528 0804193 0814593 0830700 
003002	DAL318	1168270	1	0734613 0850607 0865667 0877028 0894845 0905453 0906206 0976318 1003476 
003029	GIL101	1168248	1	0746210 0755048 0836379 0848789 0853970 0872721 0892333 0910421 0915543 1002729 
002464	CARP15	0493725	1	0738079 0747147 0852088 0897091 
005272	TH251	1137952	1	0826670 0848750 0906738 
003406	DAL112	0897399	1	0771075 0948390 1035148 1076531 
007378	PK336	1168180	1	0741435 0772735 0788849 0827963 0832248 0849245 0887586 0896224 0900541 0907596 0911807 0912695 0958897 0960497 0986367 0992577 1002606 1030693 1068371 1086916 
004872	RCCON	0348369	1	0858527 0914256 
003472	EHSEM	0024613	1	0825970 0833941 0861816 0887308 0901868 0912333 0916427 0920248 1005451 1078413 
006502	TAYC	0031621	1	0824983 0827209 0852358 0954917 1005059 1037541 
004877	PEMSTD	0031373	1	
001841	DAL105	0814748	1	0742089 0773385 0904719 
002178	PK200	0180723	1	0781472 0798802 0850854 
003453	CARP25	1063157	2	0742089 0788425 0807993 0827786 0852994 0902217 0906447 0953178 0965861 1039868 1065238 1085324 
003037	TH251	1168271	2	0745780 0803706 0813159 0828604 0836471 0836898 
003516	CAN311	0031477	2	0807347 0967411 0995269 
003560	TAYC	0031359	2	0742461 0774062 0825970 0833266 0887398 0889839 0901868 0903064 0908461 0918195 0998323 1088192 
003278	PK200	0675005	2	0742549 0799414 0826670 
001168	TAYF	0309967	2	0742886 0756275 0768585 0769943 0770471 0772218 0787582 0789284 0806882 0818349 0826363 0830197 0834343 0858114 0861391 0890199 0896287 0899292 0906896 0909675 0917702 0918118 0951991 0954240 0966094 0986807 0993566 0999826 1002045 1007554 1020478 1025569 1042335 1064605 1065945 
001839	PK229	0898918	2	0784558 0803723 0820055 0830280 0848492 0858872 0861815 0862176 0873557 0882323 0887308 0901688 0903278 0903600 0905540 0908164 0909692 0909837 1076246 
007393	DAL105	1167859	2	0781139 0829181 0829872 0833317 0887586 0908375 
005177	EHSEM	1167853	2	0744133 0751823 0752318 0785917 0787509 0829360 0832137 0912235 0950504 1054176 
007923	PK328	0031539	2	0744202 0744475 0829376 0848789 
007926	RCSEM	0468281	2	
006045	PEMSTD	0031526	2	0834138 
001771	PK278	1165592	2	0746084 0809463 0818892 0827460 0851403 
003423	TAYE	0031359	3	0746084 0794297 0827460 0847790 0852456 0877028 0898872 0906035 1015256 1025629 
003530	EHIII	0826941	2	0771438 0825990 0829796 0831413 0861816 0897911 0959919 
002153	DAL204	0986606	2	0746203 0773175 0906963 0909240 0909662 0960068 0970262 0989520 0989590 0992616 0992796 0999715 1002364 1006744 1008387 1009559 1017444 1020150 1021867 1025460 1025533 1029566 1032929 1036225 1047339 1056963 1064045 1065142 1065796 1066915 1067460 1067933 1068371 1076009 1078680 1078921 1079268 1084017 
004293	PK100	0017611	2	
006026	PK336	0213446	2	0747562 0794297 0867125 0902118 0950811 0973811 0991120 1009103 1018301 1019827 1024283 1034578 1049050 1056270 1067862 1076783 1076923 
003004	TAYD	1083868	2	0754424 0781191 0807750 0827099 0836379 0848719 0851024 0865667 0877028 0899241 0902541 0904506 0910056 0916398 0919772 
004012	TH110	0031486	2	0746210 0779276 0833511 0852456 0896224 0909216 0988245 0989395 0999195 1001806 1030683 1056012 1066778 1066924 1078648 1082919 
008421	CARP21	0132890	2	0746213 0751788 0803579 0900525 0906085 0906618 0907596 0909942 0913989 0945635 0971073 0972633 0976318 0987937 0988544 0989401 0992577 1000750 1003389 1016793 1018174 1021017 1021751 1032432 1050781 1056320 1058180 1067726 1076299 1077003 1080149 1082799 1083430 1084321 1170860 
007045	PK243	0028980	2	0746907 0808392 0867165 0869575 0886158 0903229 0904003 0905351 0918074 0919776 0920261 0920400 0966414 0967793 0986688 0999689 1006899 1016996 1025623 1030693 1044561 1056096 1067483 1068383 
005284	PK300	0031373	2	0747147 0770814 
001227	PK349	0706398	2	0769576 0806269 0813277 0828596 0833438 0833695 0857087 0858752 0915579 1000122 1015706 
