71.48649
Course	Room	Teacher	Time	Students
002562	20 / 37 / 23	CARP21	3398516	2	1051891 1079289 1090521 1149928 3062898 3093319 3114701 3121966 3151195 3166656 3211384 3211593 3212165 3215081 3215635 3218908 3220932 3311550 3322108 3331090 
007049	2 / 17 / 7	TH102	0893542	2	1163270 3084853 
001836	56 / 64 / 64	PK25	0898918	2	1051994 1096573 1112411 1162423 1162443 3068251 3081234 3085421 3088047 3088571 3089542 3090325 3091169 3091218 3091221 3091870 3098317 3126930 3142378 3177388 3185376 3193996 3194683 3204248 3205337 3209872 3209873 3210000 3210074 3211727 3213217 3214617 3215666 3219639 3231826 3232822 3260264 3261847 3262890 3265154 3276024 3304359 3307517 3309190 3315613 3315934 3322149 3322939 3322942 3323189 3323699 3331474 3331578 3331618 3332409 3332410 
002175	2 / 10 / 6	CARP13	3393271	2	1109276 3062828 
007087	4 / 17 / 7	TH111	0031573	2	3078232 3090776 3094575 3103193 
002470	3 / 7 / 4	BYC100	0697660	2	1056297 3066423 3188402 
004872	2 / 6 / 4	PK354	0348369	2	1086904 1092760 
005272	7 / 15 / 7	CAN314	1137952	2	1057174 1072725 1135687 3069585 3092091 3094738 3098224 
001864	3 / 10 / 5	GOCOM	0031557	2	1087579 1091600 1135712 
006846	13 / 36 / 21	TAYE	3402332	2	1057570 1060971 1109742 1152580 1162384 3085126 3085596 3087231 3087533 3094802 3098983 3173096 3204517 
007016	11 / 29 / 17	TAYF	0316015	2	1141766 1141987 1163131 3078408 3080142 3087431 3110756 3135241 3191210 3250904 3302457 
007026	9 / 22 / 12	PK328	3198619	2	1088574 1093758 1161679 3062862 3105292 3118027 3118090 3248179 3256812 
004082	13 / 26 / 15	PK229	0031578	2	1058068 1071318 1073672 1077528 1088139 1091481 1093047 1150784 1163836 3059978 3066589 3070830 3097153 
011828	4 / 10 / 6	TH223	1165592	2	1142038 3063516 3063573 3098496 
007397	16 / 29 / 17	EHI	0603646	2	1058154 1071507 1082986 1088236 1094452 1094776 1117207 1122130 1155700 1161824 3057399 3067156 3078150 3079816 3082073 3099375 
004304	2 / 6 / 3	PK200	3393042	2	1058203 1109686 
008490	0 / 4 / 2	CAN311	0132890	2	
003009	1 / 8 / 5	RCSEM	0375562	2	3211473 
011859	3 / 8 / 5	ROSTUD	3332662	2	1073671 1087351 3069758 
002394	6 / 19 / 8	TAYC	0020988	2	1059105 1096778 1133589 3066736 3165880 3189715 
003528	4 / 19 / 8	RCCON	3194193	2	1071068 1131900 3063070 3085391 
003454	19 / 39 / 24	PK180	0599596	2	1059404 1158383 3062439 3063303 3065947 3066711 3067585 3069455 3073216 3080843 3082246 3084658 3086455 3089884 3092012 3092577 3099676 3152788 3155201 
007372	33 / 49 / 37	EHII	0603646	3	1059404 1075130 1076785 1078869 1092959 1108799 1117207 1136145 1155813 3065779 3066124 3067056 3077931 3078437 3079120 3080512 3081234 3082058 3087117 3087757 3092126 3095391 3096808 3097075 3100468 3152788 3177388 3190778 3193776 3210074 3217195 3217415 3218679 
008467	1 / 7 / 4	BYC100	0125630	3	1088139 
003430	8 / 24 / 14	PK349	0031477	2	1161782 3114139 3194888 3212008 3217444 3254879 3314971 3316281 
001841	4 / 15 / 7	PK259	0814748	2	1074737 1134634 1155110 3068181 
002868	13 / 31 / 19	CARP25	0004955	2	1103971 3078958 3082688 3097082 3108487 3112040 3112329 3114776 3284809 3307321 3322715 3322720 3331496 
004873	5 / 15 / 7	PK259	3194193	3	1068656 1069487 1150110 3062413 3088433 
007010	21 / 38 / 24	GOB	0162976	2	1068656 1163125 3082488 3088147 3092244 3093184 3093411 3094527 3100385 3103910 3105219 3107224 3126772 3192437 3194322 3196059 3203791 3209843 3213909 3215099 3217785 
006502	6 / 17 / 8	TH104	0031621	2	1068660 1093828 3063437 3079887 3097588 3111037 
004806	9 / 23 / 13	BYC127	0032827	2	1090632 3190134 3221785 3223740 3226387 3252851 3308669 3311452 3311808 
004827	12 / 27 / 16	EHIII	0031373	2	1068953 3062796 3067387 3068911 3085407 3090312 3095417 3152434 3192055 3210877 3211007 3306653 
004833	8 / 17 / 9	PK278	0348369	3	1068953 1096573 1115327 3062796 3093184 3169335 3170878 3260308 
004750	0 / 4 / 1	PK10	3212821	2	
005864	5 / 10 / 6	TH251	3212821	3	1069299 1081569 1092084 3191191 3192054 
006511	1 / 6 / 2	PK200	0031621	3	3085596 
006860	2 / 11 / 7	CARP17	0402773	2	1069299 3095021 
002697	3 / 6 / 3	PEMSTD	0031478	2	1069487 3064156 3080774 
011774	2 / 5 / 3	PK300	1051497	2	1162455 3067056 
001185	6 / 19 / 9	TH224	0123161	2	1073211 1073523 1098264 3068167 3077926 3209294 
001844	0 / 6 / 4	GOA	3312777	2	
005847	9 / 20 / 12	CARP15	0031416	2	1070296 3094700 3104014 3211155 3216609 3236537 3248182 3254237 3304197 
005724	24 / 49 / 27	EHII	3392421	2	1070620 1071986 1081058 3078987 3097592 3098490 3113753 3119048 3119630 3120610 3126883 3145694 3153306 3161390 3205208 3205329 3209949 3211006 3211396 3213402 3217195 3218135 3322236 3330820 
002160	16 / 60 / 39	PK336	0004950	2	1070812 3063119 3080539 3086119 3087948 3091370 3095337 3099257 3103166 3120137 3121582 3193161 3205454 3209784 3306835 3330439 
002698	0 / 4 / 1	CAN311	0854975	3	
011836	5 / 11 / 7	CARP17	0431946	3	1071068 3063119 3103203 3121582 3194428 
007076	6 / 17 / 8	TH102	0031568	3	1071318 1073428 1136139 1149928 3067387 3073483 
001235	8 / 20 / 10	CARP15	0031471	3	1071507 1092958 1122236 1136656 1163179 3069758 3094738 3099745 
004065	4 / 11 / 5	CARP17	0854975	4	1071986 1073672 1160418 1163836 
007909	3 / 6 / 4	PK354	0031539	3	1072694 1138792 3098380 
001179	14 / 37 / 18	CARP21	1051387	3	1072725 1079224 1084538 1098264 1161782 3057399 3064485 3065016 3066992 3089542 3125873 3126731 3215081 3215769 
005154	4 / 10 / 6	CARP13	1020104	3	3067793 3204688 3213840 3223001 
010861	7 / 20 / 10	TAYD	0406445	3	1080204 1081304 1095813 3064715 3088010 3093246 3096355 
003007	8 / 31 / 15	CARP25	0222805	3	1073075 1153904 3093208 3097592 3100385 3105292 3194322 3217371 
004274	24 / 43 / 32	EHLEC	3400077	3	1087579 1163131 3062898 3080774 3094700 3110756 3118090 3125450 3126883 3154498 3177284 3205208 3210020 3213161 3213909 3215784 3217793 3218135 3218908 3220304 3307002 3329172 3329413 3332580 
004279	2 / 10 / 6	TH223	0017611	3	3086709 3088571 
006023	119 / 119 / 119	PK338	0301909	3	1073211 1079912 1088535 1109686 1118914 1125596 1134840 3082033 3084117 3085394 3086240 3090776 3092604 3095417 3095765 3097082 3097521 3098490 3112040 3113753 3118027 3118178 3121199 3121782 3145520 3153306 3165225 3171506 3180697 3188887 3191340 3204153 3204511 3209873 3209936 3211006 3211007 3211081 3211542 3213402 3213921 3213968 3214147 3214178 3217413 3217540 3217724 3219639 3219920 3222944 3224239 3225263 3228778 3231826 3231914 3233697 3233850 3236537 3239030 3248177 3249531 3252673 3256154 3256961 3260419 3261697 3261754 3268127 3276024 3282664 3283446 3284809 3292462 3293645 3295766 3302457 3304197 3305828 3306761 3306786 3307321 3307400 3307517 3309285 3309375 3311445 3312285 3315613 3315632 3315676 3315767 3315789 3316906 3319378 3321787 3322107 3322151 3322204 3322236 3322720 3322939 3322942 3323189 3323699 3329836 3330273 3330334 3330926 3331578 3331776 3332409 3332410 3332411 3332425 3332518 3332654 3332980 3333007 3333094 
001839	21 / 39 / 26	PK180	0898918	3	1073230 1091600 1155110 1164327 3062860 3064906 3067214 3068181 3068878 3075104 3080539 3086119 3087231 3088141 3089580 3093257 3095337 3120137 3158474 3177873 3315059 
011035	14 / 36 / 17	TAYG	3213250	3	1152580 3066711 3079872 3089014 3097192 3177165 3203991 3216649 3217346 3227754 3228861 3251946 3304324 3316782 
009242	1 / 6 / 2	PEMSTD	3310251	3	1087771 
009304	9 / 19 / 10	TH224	0493856	3	1073316 1089244 1133642 1134731 1135687 3069040 3098496 3190633 3209784 
002413	18 / 38 / 19	GOB	1051497	3	1073671 1093758 1141692 3061194 3063558 3066736 3088147 3095867 3104870 3151195 3166656 3180821 3189715 3191428 3204243 3204619 3205491 3215666 
003014	14 / 36 / 16	PK243	3332662	3	1156319 1163836 3065568 3066088 3069894 3081074 3085612 3089384 3090312 3092179 3100402 3203791 3214138 3216898 
001749	6 / 19 / 10	TAYC	3198088	3	1150429 3069486 3191834 3322187 3329757 3332761 
002635	9 / 31 / 15	TAYB	0827051	3	3085302 3115257 3212008 3221143 3221612 3227208 3233348 3304723 3332252 
006848	23 / 40 / 31	BYC106	0750235	3	1076479 1077528 1160418 3103166 3108691 3109227 3119909 3204495 3204644 3204830 3211360 3213412 3213727 3220189 3227175 3238414 3271107 3303949 3306968 3322141 3330431 3330627 3330986 
005191	0 / 5 / 2	PK300	1137952	3	
008485	11 / 27 / 13	EHIII	0031553	3	1138000 1143180 1163270 3062439 3067133 3068998 3081988 3098243 3104489 3185376 3217434 
002472	9 / 24 / 12	PK349	0493725	3	1079132 1090632 1096778 3062512 3065722 3066114 3066423 3073014 3188402 
004301	6 / 17 / 8	TH111	1165566	3	1079289 1080542 1081058 1133031 1151485 1156277 
004666	4 / 19 / 10	RCCON	0775640	3	1079349 1130377 1162892 3079769 
004839	3 / 15 / 5	PK259	1051497	4	1079538 3060775 3068911 
011063	6 / 15 / 8	CAN314	3195964	3	1079538 3061686 3090316 3103910 3216914 3217785 
011848	2 / 7 / 3	BYC100	3195964	4	1086942 3090714 
001560	1 / 10 / 6	GOCOM	0492321	3	3093319 
001562	1 / 8 / 5	RCSEM	0031756	3	3192657 
007375	23 / 45 / 35	TH110	0031631	3	1080360 1162423 3063573 3065488 3065560 3070045 3078150 3079816 3081431 3081698 3087328 3091221 3091370 3091870 3098224 3098317 3114269 3136630 3142378 3152434 3205329 3216013 3317234 
008774	5 / 29 / 14	EHI	0031572	3	3094422 3215759 3308695 3322715 3322752 
010950	8 / 23 / 11	BYC127	1168489	3	1124024 1126437 1138637 1153554 3060791 3068167 3077943 3090714 
011865	0 / 5 / 2	EHSEM	0031577	3	
001767	5 / 11 / 7	TAYSEM	0995161	3	1080595 3062958 3082688 3091305 3101150 
011322	1 / 8 / 5	ROSTUD	0028980	3	3216670 
001427	7 / 17 / 10	TH104	0031632	3	3093298 3104777 3125322 3153713 3155060 3217604 3330377 
004817	10 / 26 / 13	PK229	0031473	3	1080806 1153036 3070922 3092577 3095599 3101907 3120788 3169644 3248478 3268686 
006500	43 / 64 / 48	PK25	0031399	3	1080980 1092805 1096638 1097508 1158585 1161804 3063437 3071694 3079915 3081951 3086995 3094527 3096248 3152571 3152572 3160933 3175356 3204893 3209832 3209872 3217778 3228428 3232650 3238039 3252374 3255502 3257376 3259090 3262890 3299552 3304357 3304941 3308878 3314971 3315776 3316273 3329656 3329744 3329964 3331474 3331638 3332249 3333219 
001890	3 / 6 / 4	GOA	3312777	3	1162384 3063516 3065929 
