86.93364
Zero Conflict:50977
Nonzero Conflict:3914
Course	Room	Teacher	Time	Students
008770	38 / 174 / 39	PK20	3996170	19	3578252 3907037 3816756 3589576 3814296 3816963 3833424 3843810 3915040 3693084 3905885 3914371 3929586 3764422 3651487 3480592 3805981 3823262 3821048 3788616 3814239 3826470 3910422 3928966 3476927 3540714 3591591 3638594 3690799 3694791 3759552 3788743 3904411 3929222 3901481 3910596 4086262 3668971 
006034	29 / 78 / 29	TH110	0213446	20	3818480 3769368 3774021 3789283 3796906 3667464 3691783 3692862 3816483 3602816 3821179 3817637 3820405 3956133 3930303 3651465 3694432 3710476 3716140 3788990 3817507 3818025 3821077 3821643 3824188 3930547 3821047 3790306 3910700 
008764	40 / 174 / 40	PK20	0899465	22	3930674 3910185 3818480 3580586 3820858 3929165 3930678 3475959 3689328 3823228 3902905 3903092 3914498 3929679 3930026 3930034 3902614 3860451 3915038 3930118 3470846 3823755 3929849 3930070 3580912 3581085 3914724 3818122 3821197 3931959 3651486 3774808 3816924 3820588 3846920 3902759 3913863 3915267 3931323 3668812 
010851	18 / 78 / 18	TH110	0409737	21	3692771 3818480 3493704 3556970 3651605 3690361 3774021 3581282 3695285 3574873 3577022 3578240 3579864 3692796 3818773 3821643 3628726 3797713 
015500	22 / 78 / 22	TH110	0695890	23	3818480 3581315 3561430 3693856 3789136 3503630 3520100 3602816 3577806 3689329 3581282 3525604 3578240 3680751 3596193 3790863 3797606 3797662 3797720 3797819 3910540 3910769 
011342	20 / 78 / 20	TH110	3460456	22	3851345 3910321 3930135 3575266 3913185 3930042 3904254 3915026 3667676 3821687 3930102 3929102 3930296 3830308 3902404 3930083 3909951 3913210 3928911 3914354 
002153	73 / 174 / 145	PK20	0168378	23	3929704 3903994 3458065 3482101 3560487 3675467 3816336 3817487 3818807 3819304 3821269 3901722 3930544 3930678 3693084 3789283 3799474 3801768 3818064 3833378 3852207 3901691 3914502 3929586 3708949 3768625 3773692 3914251 3596713 3790244 3817962 3821254 3722764 3914515 3717137 3785953 3789529 3808480 3818762 3820768 3861195 3915029 3929849 3930608 3930302 3521001 3606290 3694668 3819393 3869959 3764208 3818024 3854016 3902440 3905460 3561660 3693712 3694712 3716140 3725997 3774808 3789573 3796247 3817969 3818025 3819332 3843290 3909951 3929812 3789288 3904620 3627845 4086300 
007374	77 / 174 / 77	PK20	0987494	25	3905868 3559464 3651750 3693286 3767997 3816336 3821016 3911124 3689328 3768356 3819613 3821766 3871577 3902905 3930705 3691616 3694433 3797168 3596492 3668196 3724014 3768088 3559319 3610681 3816104 3821180 3679221 3705083 3667385 3691983 3694384 3821231 3764208 3485170 3581149 3592680 3630501 3645720 3650228 3677885 3689920 3695368 3695784 3712913 3728679 3796007 3796964 3797192 3797206 3816992 3817682 3819645 3820729 3931323 3693224 3716357 4091039 3694780 3505134 3668921 3700270 3774124 3790863 3797650 3797739 3797787 3797803 3910507 3910538 3910576 3910583 3910591 3910610 3910622 3910672 3910712 4086314 
015407	9 / 78 / 9	TH110	3443571	24	3905868 3533093 3690361 3819232 3901484 3823151 3481944 3579687 3774116 
002876	35 / 174 / 35	PK20	1084458	24	3911048 3843810 3846717 3851735 3908300 3577054 3580671 3612427 3758075 3799474 3871577 3903520 3666995 3858042 3667311 3692852 3856450 3930102 3824908 3852791 3796148 3817637 3911054 3915332 3852806 3930237 3814239 3524341 3615055 3816992 3832060 3913863 3668910 3910745 4096175 
009225	13 / 78 / 13	TH110	1061058	25	3911048 3852217 3764613 3769494 3823192 3788616 3555254 3666175 3762625 3929635 3929419 3669010 4086407 
015114	44 / 78 / 44	TH110	0820103	26	3929704 3911048 3503587 3556617 3667453 3767997 3816336 3846717 3690652 3708638 3768356 3789136 3764613 3819585 3610681 3759024 3483059 3667385 3821231 3764208 3818746 3910343 3931959 3578861 3581149 3651033 3689920 3712913 3728679 3789573 3796007 3817682 3819645 3931323 3694754 3722992 3931688 3584685 3668830 3774124 3910464 3910553 3910680 4086287 
002992	49 / 174 / 49	PK20	0375562	26	3929776 3580346 3816108 3913862 3492392 3620520 3811886 3819177 3561229 3852520 3694012 3668420 3691925 3929644 3597215 3808480 3852791 3930054 3930070 3651293 3848415 3930296 3667503 3869959 3930047 3826470 3581375 3816970 3823278 3902759 3902911 3909951 3913210 3928911 3929894 3930469 3930485 3904645 4091039 3797666 3797672 3822886 3870878 3910661 4086360 4086388 4086432 4086445 4086468 
004010	29 / 174 / 29	PK20	3442425	27	3914820 3790492 3929776 3767997 3819232 3821766 3914745 3914968 3930168 3819372 3580796 3852791 3930054 3679221 3915054 3823192 3819353 3610120 3668365 3677885 3818773 3821097 3843290 3914928 3915243 3931929 3789464 3820971 3930767 
004806	17 / 78 / 17	TH110	0032827	28	3788919 3929776 3821016 3910937 3902667 3854723 3788897 3827187 3829442 3930485 3930676 3910650 3910684 3910692 4086313 4086321 4086393 
006024	61 / 174 / 61	PK20	3470402	29	3929776 3930135 3666570 3759092 3833424 3903861 3914754 3929235 3671929 3846234 3902905 3910848 3914750 3902439 3914251 3930168 3817962 3819196 3819269 3929815 3799593 3816486 3821687 3913164 3910870 3580796 3808480 3863747 3914875 3915029 3929102 3857764 3549052 3722926 3814776 3821197 3902440 3426943 3491953 3579867 3817969 3818771 3928911 3929800 3929812 3930137 3576507 3684090 3910491 3910523 3910532 3910588 3910718 3910736 4086223 4086268 4086303 4086322 4086350 4086411 4086425 
015540	7 / 78 / 7	TH110	3478658	27	3930301 3914754 3929235 3929679 3930162 3913210 3929241 
002562	38 / 174 / 38	PK20	0564741	28	3914820 3907037 3458065 3683644 3814296 3858245 3913159 3929235 3758045 3816708 3820038 3844962 3560511 3852520 3914813 3821439 3929864 3928890 3821958 3930296 3608097 3820774 3606148 3790928 3824450 3858715 3902911 3905822 3929222 3929883 0750570 3668750 3668953 3821390 3910729 4086267 4086322 4086388 
008778	14 / 78 / 14	TH110	3194197	30	3470797 3816549 3693856 3790244 3913164 3483640 3818024 3575259 3581907 3665300 3763675 3797642 3910668 4086484 
001757	9 / 78 / 9	TH110	3460008	29	3471190 3482101 3581786 3903896 3663306 3581609 3514835 3797777 3910497 
006060	19 / 174 / 19	PK20	0554585	30	3503382 3559534 3577485 3578804 3477425 3556970 3694797 3561280 3579949 3575898 3487429 3574873 3576879 3581127 3199633 3578842 3628726 3580397 3668878 
006847	50 / 174 / 95	PK20	0031347	31	3477425 3481894 3666570 3816336 3818807 3549272 3557244 3559857 3581232 3789283 3708949 3716638 3790244 3817962 3538202 3486653 3611135 3717137 3785953 3689375 3694428 3821069 3721962 3818024 3821197 3481664 3560256 3581456 3591774 3629467 3656490 3671851 3680751 3693712 3694712 3768197 3817668 3953805 3606536 3820732 3576512 3651606 3652350 3668749 3668759 3668798 3668812 3797609 3797711 3797737 
010943	65 / 78 / 65	TH110	0207327	31	3492423 3503382 3559534 3578252 3578804 3581135 3631215 3651243 3667273 3691416 3692098 3692771 3820030 3478356 3616918 3651605 3560770 3796906 3820038 3929468 3691981 3820965 3561280 3650596 3694417 3821439 3581077 3651487 3694738 3629951 3653200 3462565 3574519 3579949 3693789 3629518 3695543 3513947 3576248 3577022 3581127 3581375 3690799 3692796 3694236 3695368 3820756 3915267 3578842 3581952 3628726 3576002 3694426 3484374 3668883 3668901 3669026 3759872 3797754 3797778 3910487 3910683 3910688 3910695 3910746 
010977	24 / 174 / 24	PK20	0695890	32	3559534 3478356 3519078 3580584 3520100 3577167 3580407 3487623 3558800 3502893 3524963 3525604 3577590 3580248 3558963 3576333 3668761 3668800 3668821 3668841 3668858 3668970 3669002 3669084 
012326	19 / 78 / 19	TH110	3420576	32	3480728 3581999 3589576 3817487 3581827 3503630 3691616 3574866 3818122 3540124 3561660 3575259 3578861 3691140 3764157 3666207 3668870 3669026 3578910 
003464	18 / 174 / 18	PK20	0599596	33	3480734 3667404 3929165 3699536 3712905 3819628 3995719 3690020 3691228 3805981 3818274 3678350 3817261 3928966 3797564 3692915 3693891 3910496 
003525	7 / 78 / 7	TH110	3818518	34	3480734 3796237 3694980 3819628 3559476 3580340 3790792 
015455	9 / 78 / 9	TH110	1167884	33	3482288 3493704 3558543 3564528 3580095 3581192 3693921 3694431 3479838 
001763	15 / 174 / 15	PK20	4087850	34	3493704 3819613 3592208 3576230 3581596 3699593 3797324 3694828 3913396 3508682 3651816 3797532 3820992 3668935 3797825 
014122	24 / 174 / 24	PK20	3555100	35	3493704 3533093 3913185 3915040 3580671 3819613 3797266 3902439 3714653 3915088 3679221 3557478 3561001 3630526 3651486 3667654 3690799 3693712 3822778 3929812 3995730 3797606 3797694 4086227 
002163	16 / 78 / 16	TH110	3415849	35	3493748 3632720 3689500 3591844 3650239 3648550 3690806 3667503 3694903 3460343 3496439 3496673 3656490 3690043 3693813 3606536 
002166	18 / 174 / 18	PK20	0428815	36	3493748 3689500 3591844 3575483 3648550 3690806 3667503 3460343 3496439 3496673 3610287 3656490 3690043 3693813 3606536 3820380 3651606 3668751 
011827	17 / 174 / 17	PK20	3926209	37	3493748 3689500 3591844 3650239 3648550 3690806 3667503 3694903 3460343 3496439 3496673 3578747 3610287 3656490 3690043 3693813 3606536 
005293	10 / 78 / 10	TH110	1020104	36	3493764 3789070 3693092 3538688 3692807 3520880 3668842 3669016 3910512 3910614 
002636	13 / 78 / 13	TH110	3393853	37	3519078 3818770 3668130 3820963 3722764 3816832 3901004 3820587 3929812 3930469 3915028 3910739 4086215 
004023	17 / 174 / 17	PK20	3996718	38	3552259 3759092 3768339 3768625 3769494 3613455 3666801 3796254 3695529 3820900 3797640 3910464 3910551 3910607 3910684 3910698 3910766 
007378	66 / 174 / 66	PK20	0162977	39	3652276 3905868 3552259 3556617 3620017 3814296 3818807 3821016 3930220 3689328 3768356 3796723 3821766 3846234 3910848 3930705 3797168 3904320 3904965 3768088 3559657 3694434 3823405 3717137 3705083 3915054 3483059 3612623 3667385 3821231 3913396 3928966 3485170 3497948 3521461 3559843 3611048 3645720 3695784 3712913 3796964 3816970 3817260 3820729 3692915 3694754 3722992 3694780 3484374 3596193 3797650 3797691 3797739 3797787 3797803 3910464 3910510 3910515 3910539 3910583 3910610 3910614 3910712 4086307 4086313 3774943 
005257	10 / 78 / 10	TH110	3819183	40	3556617 3561516 3695542 3817962 3667677 3485628 3668538 3797633 3797751 3910698 
006880	8 / 78 / 8	TH110	0031347	38	3482288 3558543 3564528 3581192 3579291 3465332 3576879 3580955 
015260	4 / 78 / 4	TH110	0032205	39	3558543 3568950 3578036 3580326 
014114	18 / 174 / 18	PK20	0827051	40	3559172 3904251 3816486 3610681 3715444 3819598 3823278 3818227 3691265 3910516 3910586 3910632 3910660 3910672 4086280 4086341 4086493 4086506 
001847	22 / 174 / 22	PK20	3483424	41	3481894 3559464 3574137 3797164 3768625 3668420 3575483 3483640 3789529 3823262 3689375 3694428 3694668 3608097 3818122 3560256 3575928 3694712 3796247 3819332 3953805 3517604 
015250	5 / 78 / 5	TH110	3899727	42	3559464 3930864 3591591 3580211 3797825 
009273	9 / 78 / 9	TH110	0032827	41	3559612 3768555 3473086 3581274 3540714 3558963 3668900 3668982 3668987 
015408	22 / 174 / 22	PK20	3443571	42	3930841 3559612 3818686 3616872 3818770 3871577 3560511 3669280 3580407 3711797 3691228 3768972 3930237 3931158 3798513 3557742 3561001 3712286 3762625 3797192 3474374 3694813 
014987	8 / 78 / 8	TH110	1020104	43	3559815 3561516 3930890 3581609 3579687 3693891 3930731 3577741 
014865	77 / 174 / 77	PK20	0031522	43	3905868 3558543 3560199 3630474 3635008 3669069 3796230 3518231 3631101 3476864 3668420 3910870 3512896 3651573 3705083 3771823 3574866 3902440 3476927 3559870 3576126 3577682 3578811 3579414 3690778 3694741 3694791 3816924 3816970 3903909 3903986 3930891 3542887 3578673 3668805 3668843 3668860 3668866 3668934 3668961 3669008 3669027 3797588 3797590 3797597 3797607 3797638 3797641 3797657 3797659 3797679 3797776 3797863 3815923 3910479 3910489 3910535 3910550 3910559 3910599 3910676 3910681 3910704 3910725 3910736 3910756 3929472 4086225 4086260 4086268 4086269 4086321 4086357 4086375 4086393 4086476 4096176 
015661	12 / 174 / 12	PK20	3995790	44	3560199 3481391 3569865 3483059 3578075 3581201 3930303 3592680 3650228 3692519 3796007 3818227 
001871	6 / 78 / 6	TH110	1167863	44	3560487 3694797 3538202 3651487 3581038 3581456 
015449	40 / 174 / 40	PK20	0402773	45	3692098 3560487 3577146 3581315 3632720 3695434 3816963 3908300 3576753 3610671 3819232 3492361 3651412 3797266 3822995 3699536 3816486 3930118 3930102 3616206 3759024 3559903 3816860 3608097 3816960 3524341 3692294 3764207 3789246 3816992 3822778 3832060 3913210 3820491 3821047 3790306 3797754 3904102 3910509 4086247 
012819	14 / 78 / 14	TH110	3195964	45	3560199 3561516 3821588 3592325 3611135 3655393 3606290 3516442 3650225 3695529 3816764 3816924 3797835 3581851 
006043	16 / 78 / 16	TH110	0554585	46	3564528 3818782 3475959 3820038 3820032 3715155 3653200 3579949 3581282 3487429 3578240 3579864 3694236 3820257 3669037 3797628 
007006	27 / 174 / 27	PK20	0162976	46	3577485 3930614 3695510 3574483 3910937 3913159 3687862 3903092 3905885 3852520 3913807 3667311 3904334 3930025 3512896 3929102 3771823 3906250 3914724 3826470 3768620 3790928 3902759 3914928 3930216 4086457 4086499 
014100	12 / 78 / 12	TH110	0431946	47	3574639 3578488 3619323 3683644 3823311 3820768 3558800 3530220 3597302 3692519 3818025 3820900 
004065	5 / 78 / 5	TH110	0854975	48	3575266 3580095 3652373 3558800 3694668 
008810	12 / 174 / 12	PK20	0576472	47	3575971 3693856 3788983 3667464 3691981 3498772 3581962 3691962 3559225 3788990 3797636 3910499 
012339	11 / 174 / 11	PK20	3420576	48	3576231 3577146 3579579 3631101 3483954 3570123 3652273 3560649 3485628 3692609 3668883 
007926	8 / 78 / 8	TH110	0470839	49	3577146 3581081 3524066 3497948 3574542 3525384 3668752 3668917 
012734	5 / 78 / 5	TH110	0772775	50	3577146 3524066 3497948 3574542 3797770 
006868	14 / 174 / 14	PK20	0402773	49	3578252 3580095 3667464 3820965 3690719 3694738 3693921 3579094 3694431 3694903 3576879 3792350 3479838 3506165 
001760	6 / 174 / 6	PK20	0254474	50	3578443 3531305 3581389 3596492 3547282 3668772 
004393	5 / 78 / 5	TH110	0138190	51	3578488 3815898 3581830 3668802 3910543 
015413	24 / 174 / 38	PK20	0493855	51	3578707 3833424 3559970 3575969 3579579 3581827 3620520 3789070 3690516 3930118 3818762 3818274 3819393 3823151 3902404 3497948 3667381 3651348 3797667 3797754 3910470 3910479 3910559 3910758 
015677	12 / 78 / 12	TH110	3460456	52	3910321 3578707 3540428 3559970 3695542 3514095 3579028 3581247 3690516 3699613 3914166 3910656 
003275	17 / 174 / 17	PK20	0695890	52	3693185 3478356 3579092 3630915 3822535 3487623 3462565 3595071 3575259 3577590 3817682 3580248 3576460 3668841 3669002 3797645 3910462 
008469	17 / 174 / 17	PK20	3420576	53	3790492 3579092 3817487 3821269 3709927 3668130 3929167 3817419 3821048 3678350 3674492 3764157 3816463 3818771 3797720 3797784 3910483 
012822	4 / 78 / 4	TH110	3448653	54	3579092 3821269 3561660 3797648 
007070	11 / 78 / 11	TH110	0316015	53	3580346 3601391 3635012 3687862 3715174 3485774 3592325 3581038 3581249 3692849 3538400 
011312	13 / 174 / 13	PK20	0125630	54	3480728 3580346 3851735 3488858 3462240 3995719 3510665 3530220 3559537 3691140 3764157 3668870 3797720 
015511	15 / 174 / 15	PK20	3996563	55	3574483 3580586 3929165 3575735 3651412 3485756 3651293 3514964 3521272 3558796 3560858 3576126 3591591 3538400 3561772 
007888	7 / 78 / 7	TH110	0772775	55	3581081 3821088 3580671 3711797 3820768 3612203 3910489 
007040	16 / 174 / 16	PK20	0162976	56	3581207 3693612 3821588 3609553 3821571 3570123 3486834 3581455 3689991 3792443 3816466 3819542 3669033 3689944 3797864 3910580 
012355	6 / 78 / 6	TH110	0683480	56	3581786 3691925 3668765 3668895 3910741 4086355 
